customer_id,first_name,last_name,email,purchase_id,purchase_date,amount,currency
141,Mona,Flores,mona.flores@example.com,9000,2024-01-23,410,USD
148,Tina,Campbell,tina.campbell@example.com,9001,2024-07-08,4013,USD
115,Mallory,Wilson,mallory.wilson@example.com,9002,2024-02-20,1980,USD
144,Peter,Nelson,peter.nelson@example.com,9003,2025-04-11,1425,USD
138,Jonas,Torres,jonas.torres@example.com,9004,2024-12-09,521,USD
102,Jane,Smith,jane@example.com,9005,2024-01-04,3583,USD
115,Mallory,Wilson,mallory.wilson@example.com,9009,2025-03-01,9894,USD
102,Jane,Smith,jane@example.com,9007,2025-04-27,3258,USD
149,Rita,Hall,rita.hall@example.com,9008,2025-07-27,8929,USD
127,Yvonne,Sanchez,yvonne.sanchez@example.com,9009,2024-05-13,7390,USD
138,Jonas,Torres,jonas.torres@example.com,9010,2024-07-11,107,USD
149,Ulysses,Mitchell,ulysses.mitchell@example.com,9011,2024-03-12,9925,USD
122,Trudy,Lee,trudy.lee@example.com,9012,2024-07-11,2548,USD
114,Larry,Gonzalez,larry.gonzalez@example.com,9013,2024-09-09,1975,USD
109,David,Jones,david.jones@example.com,9014,2024-10-24,1585,USD
123,Uma,Perez,uma.perez@example.com,9015,2024-09-17,9892,USD
117,Oscar,Thomas,oscar.thomas@example.com,9019,2023-11-14,7528,USD
135,Gina,King,gina.king@example.com,9017,2024-02-05,9202,USD
109,David,Jones,david.jones@example.com,9018,2025-04-18,4804,USD
141,Mona,Flores,mona.flores@example.com,9019,2025-09-25,5929,USD
137,Isabel,Scott,isabel.scott@example.com,9020,2024-04-14,1140,USD
103,Alice,Johnson,alice.johnson@example.com,9021,2024-05-21,4742,USD
109,David,Jones,david.jones@example.com,9022,2024-05-29,1955,USD
125,Wendy,White,wendy.white@example.com,9023,2024-07-11,7429,USD
141,Mona,Flores,mona.flores@example.com,9024,2024-10-08,2995,USD
124,Victor,Thompson,victor.thompson@example.com,9025,2024-09-28,3433,USD
143,Olivia,Adams,olivia.adams@example.com,9029,2024-09-30,1170,USD
139,Kylie,Nguyen,kylie.nguyen@example.com,9027,2025-07-12,2804,USD
135,Gina,King,gina.king@example.com,9028,2024-09-07,2978,USD
130,Beth,Lewis,beth.lewis@example.com,9029,2024-10-23,4423,USD
141,Mona,Flores,mona.flores@example.com,9030,2025-04-23,3599,USD
144,Peter,Nelson,peter.nelson@example.com,9031,2024-08-28,917,USD
115,Mallory,Wilson,mallory.wilson@example.com,9032,2023-11-02,5199,USD
129,Xavier,Harris,xavier.harris@example.com,9033,2024-07-01,1085,USD
114,Larry,Gonzalez,larry.gonzalez@example.com,9034,2025-05-03,5159,USD
114,Larry,Gonzalez,larry.gonzalez@example.com,9035,2025-02-23,9483,USD
142,Nate,Green,nate.green@example.com,9039,2025-01-12,2341,USD
117,Oscar,Thomas,oscar.thomas@example.com,9037,2024-02-20,4041,USD
148,Tina,Campbell,tina.campbell@example.com,9038,2025-04-27,8831,USD
117,Oscar,Thomas,oscar.thomas@example.com,9039,2025-05-21,7020,USD
138,Jonas,Torres,jonas.torres@example.com,9040,2024-11-12,5931,USD
115,Mallory,Wilson,mallory.wilson@example.com,9041,2024-02-19,8349,USD
132,Diana,Walker,diana.walker@example.com,9042,2024-01-02,772,USD
108,Frank,Miller,frank.miller@example.com,9043,2024-03-05,2922,USD
151,Will,Roberts,will.roberts@example.com,9044,2024-12-09,9772,USD
105,Charlie,Brown,charlie.brown@example.com,9045,2024-10-29,9253,USD
139,Kylie,Nguyen,kylie.nguyen@example.com,9049,2025-01-22,8970,USD
117,Oscar,Thomas,oscar.thomas@example.com,9047,2025-04-19,189,USD
144,Peter,Nelson,peter.nelson@example.com,9048,2024-01-29,8798,USD
149,Ulysses,Mitchell,ulysses.mitchell@example.com,9049,2024-09-30,5574,USD
108,Frank,Miller,frank.miller@example.com,9050,2024-07-27,7124,USD
111,Ivan,Martinez,ivan.martinez@example.com,9051,2025-01-07,54,USD
147,Steve,Rivera,steve.rivera@example.com,9052,2024-09-29,8202,USD
149,Ulysses,Mitchell,ulysses.mitchell@example.com,9053,2024-03-31,8318,USD
107,Eve,Garcia,eve.garcia@example.com,9054,2025-07-02,4890,USD
141,Mona,Flores,mona.flores@example.com,9055,2025-03-03,9978,USD
